"sfbay","sfc","SOMA / south beach"
"sfbay","sfc","USF / panhandle"
"sfbay","sfc","bernal heights"
"sfbay","sfc","castro / upper market"
"sfbay","sfc","cole valley / ashbury hts"
"sfbay","sfc","downtown / civic / van ness"
"sfbay","sfc","excelsior / outer mission"
"sfbay","sfc","financial district"
"sfbay","sfc","glen park"
"sfbay","sfc","lower haight"
"sfbay","sfc","haight ashbury"
"sfbay","sfc","hayes valley"
"sfbay","sfc","ingleside / SFSU / CCSF"
"sfbay","sfc","inner richmond"
"sfbay","sfc","inner sunset / UCSF"
"sfbay","sfc","laurel hts / presidio"
"sfbay","sfc","marina / cow hollow"
"sfbay","sfc","mission district"
"sfbay","sfc","nob hill"
"sfbay","sfc","lower nob hill"
"sfbay","sfc","noe valley"
"sfbay","sfc","north beach / telegraph hill"
"sfbay","sfc","pacific heights"
"sfbay","sfc","lower pac hts"
"sfbay","sfc","potrero hill"
"sfbay","sfc","richmond / seacliff"
"sfbay","sfc","russian hill"
"sfbay","sfc","sunset / parkside"
"sfbay","sfc","twin peaks / diamond hts"
"sfbay","sfc","western addition"
"sfbay","sby","campbell"
"sfbay","sby","cupertino"
"sfbay","sby","gilroy"
"sfbay","sby","los gatos"
"sfbay","sby","mountain view"
"sfbay","sby","san jose downtown"
"sfbay","sby","san jose east"
"sfbay","sby","san jose north"
"sfbay","sby","san jose south"
"sfbay","sby","san jose west"
"sfbay","sby","santa clara"
"sfbay","scz","santa cruz"
"sfbay","sby","saratoga"
"sfbay","sby","sunnyvale"
"sfbay","sby","willow glen / cambrian"
"sfbay","eby","alameda"
"sfbay","eby","albany / el cerrito"
"sfbay","eby","berkeley"
"sfbay","eby","berkeley north / hills"
"sfbay","eby","concord / pleasant hill / martinez"
"sfbay","eby","danville / san ramon"
"sfbay","eby","dublin / pleasanton / livermore"
"sfbay","eby","fremont / union city / newark"
"sfbay","eby","hayward / castro valley"
"sfbay","eby","hercules, pinole, san pablo, el sob"
"sfbay","eby","lafayette / orinda / moraga"
"sfbay","eby","oakland downtown"
"sfbay","eby","oakland east"
"sfbay","eby","oakland hills / mills"
"sfbay","eby","oakland lake merritt / grand"
"sfbay","eby","oakland north / temescal"
"sfbay","eby","oakland piedmont / montclair"
"sfbay","eby","oakland west"
"sfbay","eby","richmond / point / annex"
"sfbay","eby","oakland rockridge / claremont"
"sfbay","eby","san leandro"
"sfbay","eby","vallejo / benicia"
"sfbay","eby","walnut creek"
"sfbay","pen","atherton"
"sfbay","pen","belmont"
"sfbay","pen","brisbane"
"sfbay","pen","burlingame"
"sfbay","pen","daly city"
"sfbay","pen","east palo alto"
"sfbay","pen","foster city"
"sfbay","pen","los altos"
"sfbay","pen","menlo park"
"sfbay","pen","millbrae"
"sfbay","pen","mountain view"
"sfbay","pen","pacifica"
"sfbay","pen","palo alto"
"sfbay","pen","redwood city"
"sfbay","pen","redwood shores"
"sfbay","pen","san bruno"
"sfbay","pen","san carlos"
"sfbay","pen","san mateo"
"sfbay","pen","south san francisco"
"sfbay","nby","corte madera"
"sfbay","nby","fairfax"
"sfbay","nby","greenbrae"
"sfbay","nby","kentfield / ross"
"sfbay","nby","larkspur"
"sfbay","nby","mill valley"
"sfbay","nby","napa county"
"sfbay","nby","novato"
"sfbay","nby","petaluma"
"sfbay","nby","san anselmo"
"sfbay","nby","san rafael"
"sfbay","nby","santa rosa"
"sfbay","nby","sausalito"
"sfbay","nby","sebastopol"
"sfbay","nby","sonoma"
"sfbay","nby","west marin"
"sfbay","nby","tiburon / belvedere"
"sfbay","sby","milpitas"
"sfbay","sfc","bayview"
"sfbay","eby","emeryville"
"sfbay","eby","pittsburg / antioch"
"sfbay","sfc","west portal / forest hill"
"sfbay","pen","coastside/pescadero"
"sfbay","nby","rohnert pk / cotati"
"sfbay","sfc","visitacion valley"
"sfbay","sby","morgan hill"
"newyork","mnh","Battery Park"
"newyork","mnh","Downtown"
"newyork","mnh","Financial District"
"newyork","mnh","TriBeCa"
"newyork","mnh","SoHo"
"newyork","mnh","Nolita / Bowery"
"newyork","mnh","Lower East Side"
"newyork","mnh","Greenwich Village"
"newyork","mnh","West Village"
"newyork","mnh","East Village"
"newyork","mnh","Union Square"
"newyork","mnh","Murray Hill"
"newyork","mnh","Gramercy"
"newyork","mnh","Flatiron"
"newyork","mnh","Chelsea"
"newyork","mnh","Midtown"
"newyork","mnh","Midtown East"
"newyork","mnh","Midtown West"
"newyork","mnh","Upper West Side"
"newyork","mnh","Upper East Side"
"newyork","mnh","Inwood / Wash Hts"
"newyork","mnh","Harlem / Morningside"
"sfbay","eby","brentwood / oakley"
"sfbay","nby","russian river"
"sfbay","scz","aptos"
"sfbay","scz","capitola"
"sfbay","scz","scotts valley"
"sfbay","scz","watsonville"
"sfbay","scz","boulder creek"
"sfbay","sfc","alamo square / nopa"
"sfbay","scz","soquel"
"sfbay","nby","lake county"
"sfbay","nby","mendocino county"
"sfbay","eby","fairfield / vacaville"
"sfbay","nby","healdsburg / windsor"
"sfbay","sfc","tenderloin"
"sfbay","sfc","treasure island"
"sfbay","sby","hollister"
"newyork","mnh","East Harlem"
"newyork","mnh","Chinatown / Lit Italy"
"sfbay","pen","half moon bay"
"sfbay","pen","woodside"
"sfbay","pen","portola valley"
"sfbay","sfc","portola district"
